,airline_name,journey_date,journey_day,source,destination,departure_time,arrival_time,duration,total_stops,fare
0,Air Asia,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:40,20:55,8h 15m,2 Stop(s),"7,423"
1,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,06:05,08:40,2h 35m,Non Stop,"7,424"
2,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,18:40,21:25,2h 45m,Non Stop,"7,424"
3,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,08:45,16:10,7h 25m,1 Stop,"7,424"
4,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,02:00,09:55,7h 55m,1 Stop,"7,424"
5,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:20,17:20,8h 00m,1 Stop,"7,424"
6,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,14:20,22:20,8h 00m,1 Stop,"7,424"
7,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,16:10,"00:20
+ 1 day",8h 10m,1 Stop,"7,424"
8,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:45,22:20,9h 35m,1 Stop,"7,424"
9,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,22:30,"09:55
+ 1 day",11h 25m,1 Stop,"7,424"
10,Go First,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,05:50,17:20,11h 30m,1 Stop,"7,424"
11,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,05:35,08:05,2h 30m,Non Stop,"7,425"
12,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,06:10,08:50,2h 40m,Non Stop,"7,425"
13,Vistara,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,20:40,23:20,2h 40m,Non Stop,"7,425"
14,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,06:10,08:55,2h 45m,Non Stop,"7,425"
15,Vistara,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:05,11:50,2h 45m,Non Stop,"7,425"
16,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:45,12:30,2h 45m,Non Stop,"7,425"
17,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,13:30,16:15,2h 45m,Non Stop,"7,425"
18,Vistara,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,14:15,17:00,2h 45m,Non Stop,"7,425"
19,Vistara,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,16:05,18:50,2h 45m,Non Stop,"7,425"
20,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,17:20,20:05,2h 45m,Non Stop,"7,425"
21,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,19:40,22:25,2h 45m,Non Stop,"7,425"
22,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,22:30,"01:15
+ 1 day",2h 45m,Non Stop,"7,425"
23,Vistara,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,17:35,20:25,2h 50m,Non Stop,"7,425"
24,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,08:20,11:15,2h 55m,Non Stop,"7,425"
25,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:15,12:10,2h 55m,Non Stop,"7,425"
26,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:30,15:25,2h 55m,Non Stop,"7,425"
27,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,18:20,21:15,2h 55m,Non Stop,"7,425"
28,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:15,"00:10
+ 1 day",2h 55m,Non Stop,"7,425"
29,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:25,"00:20
+ 1 day",2h 55m,Non Stop,"7,425"
30,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,15:30,18:30,3h 00m,Non Stop,"7,425"
31,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,13:00,21:20,8h 20m,1 Stop,"7,425"
32,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,19:30,"09:00
+ 1 day",13h 30m,1 Stop,"7,425"
33,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,07:25,21:20,13h 55m,1 Stop,"7,425"
34,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,18:55,"09:40
+ 1 day",14h 45m,1 Stop,"7,425"
35,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,07:45,22:45,15h 00m,1 Stop,"7,425"
36,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,16:20,"09:00
+ 1 day",16h 40m,1 Stop,"7,425"
37,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,15:30,"11:20
+ 1 day",19h 50m,1 Stop,"7,425"
38,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:00,"09:00
+ 1 day",21h 00m,1 Stop,"7,425"
39,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,17:45,"16:50
+ 1 day",23h 05m,1 Stop,"7,425"
40,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:05,"09:00
+ 1 day",23h 55m,1 Stop,"7,425"
41,SpiceJet,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,11:55,"13:35
+ 1 day",25h 40m,1 Stop,"7,425"
42,Air Asia,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,08:00,10:40,2h 40m,Non Stop,"7,426"
43,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:55,18:30,5h 35m,1 Stop,"9,735"
44,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:55,18:45,5h 50m,1 Stop,"9,735"
45,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,06:45,13:20,6h 35m,1 Stop,"9,735"
46,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:55,19:35,6h 40m,1 Stop,"9,735"
47,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,11:00,18:30,7h 30m,1 Stop,"9,735"
48,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,11:00,18:45,7h 45m,1 Stop,"9,735"
49,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,12:55,20:45,7h 50m,1 Stop,"9,735"
50,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,11:00,19:35,8h 35m,1 Stop,"9,735"
51,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:40,18:30,8h 50m,1 Stop,"9,735"
52,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:40,18:45,9h 05m,1 Stop,"9,735"
53,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,11:00,20:45,9h 45m,1 Stop,"9,735"
54,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:40,19:35,9h 55m,1 Stop,"9,735"
55,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:15,"08:15
+ 1 day",11h 00m,1 Stop,"9,735"
56,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:40,20:45,11h 05m,1 Stop,"9,735"
57,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,06:45,18:45,12h 00m,1 Stop,"9,735"
58,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:45,14:20,4h 35m,1 Stop,"9,840"
59,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:25,"14:20
+ 1 day",16h 55m,1 Stop,"9,840"
60,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:25,"14:55
+ 1 day",17h 30m,2 Stop(s),"9,840"
61,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:25,"22:15
+ 1 day",24h 50m,1 Stop,"9,840"
62,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,09:45,"14:55
+ 1 day",29h 10m,2 Stop(s),"9,840"
63,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,06:00,11:40,5h 40m,1 Stop,"9,988"
64,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,08:10,14:20,6h 10m,1 Stop,"10,260"
65,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:50,"07:50
+ 1 day",10h 00m,1 Stop,"10,365"
66,Air India,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,18:10,"12:50
+ 1 day",18h 40m,1 Stop,"10,470"
67,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,13:50,19:00,5h 10m,1 Stop,"10,523"
68,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:20,"02:35
+ 1 day",5h 15m,1 Stop,"10,523"
69,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,17:25,23:55,6h 30m,1 Stop,"10,523"
70,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,23:10,"06:25
+ 1 day",7h 15m,1 Stop,"10,523"
71,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,21:20,"06:25
+ 1 day",9h 05m,1 Stop,"10,523"
72,IndiGo,2022-01-29,"Sat, 29 Jan",New Delhi,Bangalore,17:25,"02:35
+ 1 day",9h 10m,1 Stop,"10,523"
